session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
JHQM,high,100,0.7,1,buy_yes,4,50.0,51.0,2.02,15.0,12.98,4,0,3455,2026-05-06T20:05:06Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,2,pass,0,51.0,51.0,0.0,12.98,12.98,4,0,3575,2026-05-06T20:05:09Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,3,buy_no,1,51.0,50.7,0.49,12.98,12.49,4,1,2211,2026-05-06T20:05:11Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,4,buy_yes,4,50.7,51.7,2.05,12.49,10.44,8,1,2898,2026-05-06T20:05:14Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,5,buy_yes,2,51.7,52.2,1.04,10.44,9.4,10,1,5823,2026-05-06T20:05:20Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,6,buy_yes,1,52.2,52.5,0.52,9.4,8.88,11,1,3794,2026-05-06T20:05:24Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,7,buy_yes,3,52.5,53.2,1.59,8.88,7.29,14,1,3640,2026-05-06T20:05:28Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,8,buy_yes,6,53.2,54.7,3.24,7.29,4.05,20,1,3937,2026-05-06T20:05:32Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,9,buy_no,1,54.7,54.5,0.45,4.05,3.6,20,2,1957,2026-05-06T20:05:34Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,10,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,2207,2026-05-06T20:05:36Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,11,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,628,2026-05-06T20:05:36Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,12,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,634,2026-05-06T20:05:37Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,13,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,639,2026-05-06T20:05:38Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,14,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,657,2026-05-06T20:05:38Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,15,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,640,2026-05-06T20:05:39Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,16,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,770,2026-05-06T20:05:40Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,17,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,790,2026-05-06T20:05:41Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,18,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,633,2026-05-06T20:05:41Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,19,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,681,2026-05-06T20:05:42Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,20,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,661,2026-05-06T20:05:43Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,21,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,700,2026-05-06T20:05:43Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,22,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,750,2026-05-06T20:05:44Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,23,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,700,2026-05-06T20:05:45Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,24,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,745,2026-05-06T20:05:46Z,red,23.6,True,1,70,55,2,0,False,Computer Science
JHQM,high,100,0.7,25,pass,0,54.5,54.5,0.0,3.6,3.6,20,2,1131,2026-05-06T20:05:47Z,red,23.6,True,1,70,55,2,0,False,Computer Science
