session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
PQZB,low,10,0.7,1,buy_yes,5,50.0,62.2,2.81,15.0,12.19,5,0,4221,2026-05-06T20:12:30Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,2,buy_yes,1,62.2,64.6,0.63,12.19,11.56,6,0,5730,2026-05-06T20:12:36Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,3,buy_yes,1,64.6,66.8,0.66,11.56,10.9,7,0,1947,2026-05-06T20:12:38Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,4,buy_yes,1,66.8,69.0,0.68,10.9,10.22,8,0,2077,2026-05-06T20:12:40Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,5,buy_yes,1,69.0,71.1,0.7,10.22,9.52,9,0,1604,2026-05-06T20:12:41Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,6,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,2174,2026-05-06T20:12:43Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,7,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,686,2026-05-06T20:12:44Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,8,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,714,2026-05-06T20:12:45Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,9,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,758,2026-05-06T20:12:46Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,10,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,554,2026-05-06T20:12:46Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,11,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,545,2026-05-06T20:12:47Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,12,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,467,2026-05-06T20:12:47Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,13,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,547,2026-05-06T20:12:48Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,14,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,450,2026-05-06T20:12:48Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,15,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,528,2026-05-06T20:12:49Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,16,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,456,2026-05-06T20:12:49Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,17,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,749,2026-05-06T20:12:50Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,18,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,630,2026-05-06T20:12:51Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,19,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,872,2026-05-06T20:12:52Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,20,pass,0,71.1,71.1,0.0,9.52,9.52,9,0,776,2026-05-06T20:12:52Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,21,buy_yes,2,71.1,75.0,1.46,9.52,8.06,11,0,4326,2026-05-06T20:12:57Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,22,pass,0,75.0,75.0,0.0,8.06,8.06,11,0,1640,2026-05-06T20:12:58Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,23,pass,0,75.0,75.0,0.0,8.06,8.06,11,0,690,2026-05-06T20:12:59Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,24,pass,0,75.0,75.0,0.0,8.06,8.06,11,0,782,2026-05-06T20:13:00Z,red,19.06,True,1,70,70,2,0,False,Computer Science
PQZB,low,10,0.7,25,pass,0,75.0,75.0,0.0,8.06,8.06,11,0,911,2026-05-06T20:13:01Z,red,19.06,True,1,70,70,2,0,False,Computer Science
